1,1,1,1,2,57,19,6,46,36,0.695121951219512,0.231707317073171,0.0731707317073171,0.560975609756098
2,1,1,2,3,59,10,13,24,58,0.719512195121951,0.121951219512195,0.158536585365854,0.292682926829268
3,1,1,3,3,37,28,17,20,62,0.451219512195122,0.341463414634146,0.207317073170732,0.24390243902439
4,1,1,4,3,41,11,30,29,53,0.5,0.134146341463415,0.365853658536585,0.353658536585366
5,1,1,5,3,42,6,34,25,57,0.51219512195122,0.0731707317073171,0.414634146341463,0.304878048780488
6,1,1,6,3,69,8,4,28,53,0.851851851851852,0.0987654320987654,0.0493827160493827,0.345679012345679
7,1,1,7,3,55,12,15,22,60,0.670731707317073,0.146341463414634,0.182926829268293,0.268292682926829
8,1,1,8,3,33,37,12,37,45,0.402439024390244,0.451219512195122,0.146341463414634,0.451219512195122
9,1,1,9,1,65,9,8,46,36,0.792682926829268,0.109756097560976,0.0975609756097561,0.560975609756098
10,1,1,10,3,59,13,10,26,56,0.719512195121951,0.158536585365854,0.121951219512195,0.317073170731707
11,1,1,11,2,44,17,21,44,38,0.536585365853659,0.207317073170732,0.25609756097561,0.536585365853659
12,1,1,12,1,73,4,5,49,33,0.890243902439024,0.0487804878048781,0.0609756097560976,0.597560975609756
13,1,1,13,3,59,15,8,18,64,0.719512195121951,0.182926829268293,0.0975609756097561,0.219512195121951
14,1,1,14,1,67,4,11,39,43,0.817073170731707,0.0487804878048781,0.134146341463415,0.475609756097561
15,1,1,15,3,58,13,11,38,44,0.707317073170732,0.158536585365854,0.134146341463415,0.463414634146342
16,1,1,16,1,74,4,4,46,36,0.902439024390244,0.0487804878048781,0.0487804878048781,0.560975609756098
17,1,2,1,3,9,48,25,42,40,0.109756097560976,0.585365853658537,0.304878048780488,0.51219512195122
18,1,2,2,3,6,52,24,39,43,0.0731707317073171,0.634146341463415,0.292682926829268,0.475609756097561
19,1,2,3,1,54,21,7,37,45,0.658536585365854,0.25609756097561,0.0853658536585366,0.451219512195122
20,1,2,4,3,12,45,25,28,54,0.146341463414634,0.548780487804878,0.304878048780488,0.341463414634146
21,1,2,5,3,9,37,36,25,57,0.109756097560976,0.451219512195122,0.439024390243902,0.304878048780488
22,1,2,6,2,10,47,25,44,38,0.121951219512195,0.573170731707317,0.304878048780488,0.536585365853659
23,1,2,7,3,76,4,2,50,32,0.926829268292683,0.0487804878048781,0.024390243902439,0.609756097560976
24,1,2,8,3,11,46,25,15,67,0.134146341463415,0.560975609756098,0.304878048780488,0.182926829268293
25,1,2,9,3,7,49,26,34,48,0.0853658536585366,0.597560975609756,0.317073170731707,0.414634146341463
26,1,2,10,1,16,35,31,43,39,0.195121951219512,0.426829268292683,0.378048780487805,0.524390243902439
27,1,2,11,2,70,9,3,37,45,0.853658536585366,0.109756097560976,0.0365853658536585,0.451219512195122
28,1,2,12,1,75,3,4,35,47,0.914634146341463,0.0365853658536585,0.0487804878048781,0.426829268292683
29,1,2,13,3,17,45,20,26,56,0.207317073170732,0.548780487804878,0.24390243902439,0.317073170731707
30,1,2,14,3,54,12,16,20,62,0.658536585365854,0.146341463414634,0.195121951219512,0.24390243902439
31,1,2,15,1,64,9,9,44,38,0.780487804878049,0.109756097560976,0.109756097560976,0.536585365853659
32,1,2,16,3,38,15,29,24,58,0.463414634146342,0.182926829268293,0.353658536585366,0.292682926829268
33,1,3,1,2,67,11,4,49,33,0.817073170731707,0.134146341463415,0.0487804878048781,0.597560975609756
34,1,3,2,1,75,6,1,42,40,0.914634146341463,0.0731707317073171,0.0121951219512195,0.51219512195122
35,1,3,3,1,69,9,4,61,21,0.841463414634146,0.109756097560976,0.0487804878048781,0.74390243902439
36,1,3,4,3,66,11,5,42,40,0.804878048780488,0.134146341463415,0.0609756097560976,0.51219512195122
37,1,3,5,3,70,5,7,45,37,0.853658536585366,0.0609756097560976,0.0853658536585366,0.548780487804878
38,1,3,6,3,68,9,5,38,44,0.829268292682927,0.109756097560976,0.0609756097560976,0.463414634146342
39,1,3,7,2,64,12,6,40,42,0.780487804878049,0.146341463414634,0.0731707317073171,0.487804878048781
40,1,3,8,3,79,3,0,51,31,0.963414634146341,0.0365853658536585,0,0.621951219512195
41,1,3,9,3,74,7,1,51,31,0.902439024390244,0.0853658536585366,0.0121951219512195,0.621951219512195
42,1,3,10,3,66,11,5,33,49,0.804878048780488,0.134146341463415,0.0609756097560976,0.402439024390244
43,1,3,11,3,67,8,7,35,47,0.817073170731707,0.0975609756097561,0.0853658536585366,0.426829268292683
44,1,3,12,1,72,8,2,41,41,0.878048780487805,0.0975609756097561,0.024390243902439,0.5
45,1,3,13,1,73,3,6,51,31,0.890243902439024,0.0365853658536585,0.0731707317073171,0.621951219512195
